id,name,japanese_name,classfication,generation,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities,height_m,weight_kg,base_egg_steps,base_happiness,base_total,capture_rate,experience_growth,percentage_male,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,image_url,pokedex_number
0011,Metapod,Transelãƒˆãƒ©ãƒ³ã‚»ãƒ«,Cocoon PokÃ©mon,1,bug,,50,20,55,25,25,30,['Shed Skin'],0.7,9.9,3840,70,205,120,1000000,50,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,11
0012,Butterfree,Butterfreeãƒã‚¿ãƒ•ãƒªãƒ¼,Butterfly PokÃ©mon,1,bug,flying,60,45,50,90,80,70,"['Compoundeyes', 'Tinted Lens']",1.1,32,3840,70,395,45,1000000,50,0,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,12
0013,Weedle,Beedleãƒ“ãƒ¼ãƒ‰ãƒ«,Hairy PokÃ©mon,1,bug,poison,40,35,30,20,20,50,"['Shield Dust', 'Run Away']",0.3,3.2,3840,70,195,255,1000000,50,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,13
0014,Kakuna,Cocoonã‚³ã‚¯ãƒ¼ãƒ³,Cocoon PokÃ©mon,1,bug,poison,45,25,50,25,25,35,['Shed Skin'],0.6,10,3840,70,205,120,1000000,50,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,14
0015,Beedrill,Spearã‚¹ãƒ”ã‚¢ãƒ¼,Poison Bee PokÃ©mon,1,bug,poison,65,150,40,15,80,145,"['Swarm', 'Sniper']",1,29.5,3840,70,495,45,1000000,50,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,15
0016,Pidgey,Poppoãƒãƒƒãƒ,Tiny Bird PokÃ©mon,1,normal,flying,40,45,40,35,35,56,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.3,1.8,3840,70,251,255,1059860,50,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,16
0017,Pidgeotto,Pigeonãƒ”ã‚¸ãƒ§ãƒ³,Bird PokÃ©mon,1,normal,flying,63,60,55,50,50,71,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.1,30,3840,70,349,120,1059860,50,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,17
0018,Pidgeot,Pigeotãƒ”ã‚¸ãƒ§ãƒƒãƒˆ,Bird PokÃ©mon,1,normal,flying,83,80,80,135,80,121,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.5,39.5,3840,70,579,45,1059860,50,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,18
0019,Rattata,Korattaã‚³ãƒ©ãƒƒã‚¿,Mouse PokÃ©mon,1,normal,dark,30,56,35,25,35,72,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",,,3840,70,253,255,1000000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,19
0020,Raticate,Rattaãƒ©ãƒƒã‚¿,Mouse PokÃ©mon,1,normal,dark,75,71,70,40,80,77,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",,,3840,70,413,127,1000000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,20
0021,Spearow,Onisuzumeã‚ªãƒ‹ã‚¹ã‚ºãƒ¡,Tiny Bird PokÃ©mon,1,normal,flying,40,60,30,31,31,70,"['Keen Eye', 'Sniper']",0.3,2,3840,70,262,255,1000000,50,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,21
0022,Fearow,Onidrillã‚ªãƒ‹ãƒ‰ãƒªãƒ«,Beak PokÃ©mon,1,normal,flying,65,90,65,61,61,100,"['Keen Eye', 'Sniper']",1.2,38,3840,70,442,90,1000000,50,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,22
0023,Ekans,Arboã‚¢ãƒ¼ãƒœ,Snake PokÃ©mon,1,poison,,35,60,44,40,54,55,"['Intimidate', 'Shed Skin', 'Unnerve']",2,6.9,5120,70,288,255,1000000,50,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,23
0024,Arbok,Arbokã‚¢ãƒ¼ãƒœãƒƒã‚¯,Cobra PokÃ©mon,1,poison,,60,95,69,65,79,80,"['Intimidate', 'Shed Skin', 'Unnerve']",3.5,65,5120,70,448,90,1000000,50,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,24
0025,Pikachu,Pikachuãƒ”ã‚«ãƒãƒ¥ã‚¦,Mouse PokÃ©mon,1,electric,,35,55,40,50,50,90,"['Static', 'Lightningrod']",0.4,6,2560,70,320,190,1000000,50,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,25
0026,Raichu,Raichuãƒ©ã‚¤ãƒãƒ¥ã‚¦,Mouse PokÃ©mon,1,electric,electric,60,85,50,95,85,110,"['Static', 'Lightningrod', 'Surge Surfer']",,,2560,70,485,75,1000000,50,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,26
0027,Sandshrew,Sandã‚µãƒ³ãƒ‰,Mouse PokÃ©mon,1,ground,ice,50,75,90,10,35,40,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",,,5120,70,300,255,1000000,50,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,27
0028,Sandslash,Sandpanã‚µãƒ³ãƒ‰ãƒ‘ãƒ³,Mouse PokÃ©mon,1,ground,ice,75,100,120,25,65,65,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",,,5120,70,450,90,1000000,50,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,28
0029,Nidoranâ™€,Nidoran?ãƒ‹ãƒ‰ãƒ©ãƒ³â™€,Poison Pin PokÃ©mon,1,poison,,55,47,52,40,40,41,"['Poison Point', 'Rivalry', 'Hustle']",0.4,7,5120,70,275,235,1059860,0,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,29
0030,Nidorina,Nidorinaãƒ‹ãƒ‰ãƒªãƒ¼ãƒŠ,Poison Pin PokÃ©mon,1,poison,,70,62,67,55,55,56,"['Poison Point', 'Rivalry', 'Hustle']",0.8,20,5120,70,365,120,1059860,0,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,30
0031,Nidoqueen,Nidoqueenãƒ‹ãƒ‰ã‚¯ã‚¤ãƒ³,Drill PokÃ©mon,1,poison,ground,90,92,87,75,85,76,"['Poison Point', 'Rivalry', 'Sheer Force']",1.3,60,5120,70,505,45,1059860,0,0,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,31
0032,Nidoranâ™‚,Nidoran?ãƒ‹ãƒ‰ãƒ©ãƒ³â™‚,Poison Pin PokÃ©mon,1,poison,,46,57,40,40,40,50,"['Poison Point', 'Rivalry', 'Hustle']",0.5,9,5120,70,273,235,1059860,100,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,32
0033,Nidorino,Nidorinoãƒ‹ãƒ‰ãƒªãƒ¼ãƒŽ,Poison Pin PokÃ©mon,1,poison,,61,72,57,55,55,65,"['Poison Point', 'Rivalry', 'Hustle']",0.9,19.5,5120,70,365,120,1059860,100,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,33
0034,Nidoking,Nidokingãƒ‹ãƒ‰ã‚­ãƒ³ã‚°,Drill PokÃ©mon,1,poison,ground,81,102,77,85,75,85,"['Poison Point', 'Rivalry', 'Sheer Force']",1.4,62,5120,70,505,45,1059860,100,0,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png,34
0035,Clefairy,Pippiãƒ”ãƒƒãƒ”,Fairy PokÃ©mon,1,fairy,,70,45,48,60,65,35,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.6,7.5,2560,140,323,150,800000,24.6,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png,35
0036,Clefable,Pixyãƒ”ã‚¯ã‚·ãƒ¼,Fairy PokÃ©mon,1,fairy,,95,70,73,95,90,60,"['Cute Charm', 'Magic Guard', 'Unaware']",1.3,40,2560,140,483,25,800000,24.6,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png,36
0037,Vulpix,Rokonãƒ­ã‚³ãƒ³,Fox PokÃ©mon,1,fire,ice,38,41,40,50,65,65,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",,,5120,70,299,190,1000000,24.6,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,37
0038,Ninetales,Kyukonã‚­ãƒ¥ã‚¦ã‚³ãƒ³,Fox PokÃ©mon,1,fire,ice,73,67,75,81,100,109,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",,,5120,70,505,75,1000000,24.6,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,38
0039,Jigglypuff,Purinãƒ—ãƒªãƒ³,Balloon PokÃ©mon,1,normal,fairy,115,45,20,45,25,20,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,5.5,2560,70,270,170,800000,24.6,0,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png,39
0040,Wigglytuff,Pukurinãƒ—ã‚¯ãƒªãƒ³,Balloon PokÃ©mon,1,normal,fairy,140,70,45,85,50,45,"['Cute Charm', 'Competitive', 'Frisk']",1,12,2560,70,435,50,800000,24.6,0,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png,40
0041,Zubat,Zubatã‚ºãƒãƒƒãƒˆ,Bat PokÃ©mon,1,poison,flying,40,45,35,30,40,55,"['Inner Focus', 'Infiltrator']",0.8,7.5,3840,70,245,255,1000000,50,0,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png,41
0042,Golbat,Golbatã‚´ãƒ«ãƒãƒƒãƒˆ,Bat PokÃ©mon,1,poison,flying,75,80,70,65,75,90,"['Inner Focus', 'Infiltrator']",1.6,55,3840,70,455,90,1000000,50,0,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png,42
0043,Oddish,NazonokusaãƒŠã‚¾ãƒŽã‚¯ã‚µ,Weed PokÃ©mon,1,grass,poison,45,50,55,75,65,30,"['Chlorophyll', 'Run Away']",0.5,5.4,5120,70,320,255,1059860,50,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png,43
0044,Gloom,Kusaihanaã‚¯ã‚µã‚¤ãƒãƒŠ,Weed PokÃ©mon,1,grass,poison,60,65,70,85,75,40,"['Chlorophyll', 'Stench']",0.8,8.6,5120,70,395,120,1059860,50,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png,44
0045,Vileplume,Ruffresiaãƒ©ãƒ•ãƒ¬ã‚·ã‚¢,Flower PokÃ©mon,1,grass,poison,75,80,85,110,90,50,"['Chlorophyll', 'Effect Spore']",1.2,18.6,5120,70,490,45,1059860,50,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png,45
0046,Paras,Parasãƒ‘ãƒ©ã‚¹,Mushroom PokÃ©mon,1,bug,grass,35,70,55,45,55,25,"['Effect Spore', 'Dry Skin', 'Damp']",0.3,5.4,5120,70,285,190,1000000,50,0,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png,46
0047,Parasect,Parasectãƒ‘ãƒ©ã‚»ã‚¯ãƒˆ,Mushroom PokÃ©mon,1,bug,grass,60,95,80,60,80,30,"['Effect Spore', 'Dry Skin', 'Damp']",1,29.5,5120,70,405,75,1000000,50,0,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png,47
0048,Venonat,Kongpangã‚³ãƒ³ãƒ‘ãƒ³,Insect PokÃ©mon,1,bug,poison,60,55,50,40,55,45,"['Compoundeyes', 'Tinted Lens', 'Run Away']",1,30,5120,70,305,190,1000000,50,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png,48
0049,Venomoth,Morphonãƒ¢ãƒ«ãƒ•ã‚©ãƒ³,Poison Moth PokÃ©mon,1,bug,poison,70,65,60,90,75,90,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",1.5,12.5,5120,70,450,75,1000000,50,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png,49
0050,Diglett,Digdaãƒ‡ã‚£ã‚°ãƒ€,Mole PokÃ©mon,1,ground,ground,10,55,30,35,45,90,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",,,5120,70,265,255,1000000,50,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,50
0051,Dugtrio,Dugtrioãƒ€ã‚°ãƒˆãƒªã‚ª,Mole PokÃ©mon,1,ground,ground,35,100,60,50,70,110,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",,,5120,70,425,50,1000000,50,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,51
0052,Meowth,Nyarthãƒ‹ãƒ£ãƒ¼ã‚¹,Scratch Cat PokÃ©mon,1,normal,dark,40,35,35,50,40,90,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",,,5120,70,290,255,1000000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,52
0053,Persian,Persianãƒšãƒ«ã‚·ã‚¢ãƒ³,Classy Cat PokÃ©mon,1,normal,dark,65,60,60,75,65,115,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",,,5120,70,440,90,1000000,50,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,53
0054,Psyduck,Koduckã‚³ãƒ€ãƒƒã‚¯,Duck PokÃ©mon,1,water,,50,52,48,65,50,55,"['Damp', 'Cloud Nine', 'Swift Swim']",0.8,19.6,5120,70,320,190,1000000,50,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png,54
0055,Golduck,Golduckã‚´ãƒ«ãƒ€ãƒƒã‚¯,Duck PokÃ©mon,1,water,,80,82,78,95,80,85,"['Damp', 'Cloud Nine', 'Swift Swim']",1.7,76.6,5120,70,500,75,1000000,50,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png,55
0056,Mankey,Mankeyãƒžãƒ³ã‚­ãƒ¼,Pig Monkey PokÃ©mon,1,fighting,,40,80,35,35,45,70,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,28,5120,70,305,190,1000000,50,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png,56
0057,Primeape,Okorizaruã‚ªã‚³ãƒªã‚¶ãƒ«,Pig Monkey PokÃ©mon,1,fighting,,65,105,60,60,70,95,"['Vital Spirit', 'Anger Point', 'Defiant']",1,32,5120,70,455,75,1000000,50,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png,57
0058,Growlithe,Gardieã‚¬ãƒ¼ãƒ‡ã‚£,Puppy PokÃ©mon,1,fire,,55,70,45,70,50,60,"['Intimidate', 'Flash Fire', 'Justified']",0.7,19,5120,70,350,190,1250000,75.4,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,58
0059,Arcanine,Windieã‚¦ã‚¤ãƒ³ãƒ‡ã‚£,Legendary PokÃ©mon,1,fire,,90,110,80,100,80,95,"['Intimidate', 'Flash Fire', 'Justified']",1.9,155,5120,70,555,75,1250000,75.4,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png,59
0060,Poliwag,Nyoromoãƒ‹ãƒ§ãƒ­ãƒ¢,Tadpole PokÃ©mon,1,water,,40,50,40,40,40,90,"['Water Absorb', 'Damp', 'Swift Swim']",0.6,12.4,5120,70,300,255,1059860,50,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png,60
0061,Poliwhirl,Nyorozoãƒ‹ãƒ§ãƒ­ã‚¾,Tadpole PokÃ©mon,1,water,,65,65,65,50,50,90,"['Water Absorb', 'Damp', 'Swift Swim']",1,20,5120,70,385,120,1059860,50,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png,61
0062,Poliwrath,Nyorobonãƒ‹ãƒ§ãƒ­ãƒœãƒ³,Tadpole PokÃ©mon,1,water,fighting,90,95,95,70,90,70,"['Water Absorb', 'Damp', 'Swift Swim']",1.3,54,5120,70,510,45,1059860,50,0,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png,62
0063,Abra,Caseyã‚±ãƒ¼ã‚·ã‚£,Psi PokÃ©mon,1,psychic,,25,20,15,105,55,90,"['Synchronize', 'Inner Focus', 'Magic Guard']",0.9,19.5,5120,70,310,200,1059860,75.4,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png,63
0064,Kadabra,Yungererãƒ¦ãƒ³ã‚²ãƒ©ãƒ¼,Psi PokÃ©mon,1,psychic,,40,35,30,120,70,105,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.3,56.5,5120,70,400,100,1059860,75.4,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png,64
0065,Alakazam,Foodinãƒ•ãƒ¼ãƒ‡ã‚£ãƒ³,Psi PokÃ©mon,1,psychic,,55,50,65,175,105,150,"['Synchronize', 'Inner Focus', 'Magic Guard']",1.5,48,5120,70,600,50,1059860,75.4,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png,65
0066,Machop,Wanrikyãƒ¯ãƒ³ãƒªã‚­ãƒ¼,Superpower PokÃ©mon,1,fighting,,70,80,50,35,35,35,"['Guts', 'No Guard', 'Steadfast']",0.8,19.5,5120,70,305,180,1059860,75.4,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png,66
0067,Machoke,Gorikyã‚´ãƒ¼ãƒªã‚­ãƒ¼,Superpower PokÃ©mon,1,fighting,,80,100,70,50,60,45,"['Guts', 'No Guard', 'Steadfast']",1.5,70.5,5120,70,405,90,1059860,75.4,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png,67
0068,Machamp,Kairikyã‚«ã‚¤ãƒªã‚­ãƒ¼,Superpower PokÃ©mon,1,fighting,,90,130,80,65,85,55,"['Guts', 'No Guard', 'Steadfast']",1.6,130,5120,70,505,45,1059860,75.4,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png,68
